Location,Job_Type,machine_learning,hadoop,tableau,lat,long
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,1,0,1,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,1,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,1,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,1,1,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,1,36.778259,-119.417931
CA,data_engineer,1,1,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,1,1,1,36.778259,-119.417931
CA,data_engineer,1,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CA,data_engineer,0,1,0,36.778259,-119.417931
CA,data_engineer,0,0,0,36.778259,-119.417931
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,0,1,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,1,1,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,1,1,39.113014,-105.358887
CO,data_engineer,0,0,1,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,1,1,0,39.113014,-105.358887
CO,data_engineer,1,0,0,39.113014,-105.358887
CO,data_engineer,1,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
CO,data_engineer,0,1,1,39.113014,-105.358887
CO,data_engineer,1,1,1,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,0,0,0,39.113014,-105.358887
CO,data_engineer,1,1,0,39.113014,-105.358887
CO,data_engineer,0,1,0,39.113014,-105.358887
